global_shift,room_id,nurse_id
0,r0,n05
0,r3,n07
1,r0,n00
1,r3,n00
2,r0,n04
2,r3,n04
3,r0,n06
4,r0,n09
5,r0,n08
6,r0,n00
6,r1,n01
6,r2,n01
6,r3,n00
7,r0,n02
7,r1,n03
7,r2,n05
7,r3,n03
8,r0,n06
8,r1,n04
8,r2,n06
8,r3,n07
9,r0,n00
9,r1,n00
9,r2,n01
9,r3,n00
10,r0,n08
10,r1,n05
10,r2,n08
10,r3,n02
11,r0,n04
11,r1,n04
11,r2,n03
11,r3,n04
12,r0,n09
12,r1,n07
12,r2,n07
12,r3,n09
13,r0,n02
13,r1,n02
13,r2,n02
13,r3,n02
14,r0,n01
14,r1,n01
14,r2,n01
14,r3,n01
15,r0,n04
15,r1,n04
15,r2,n04
15,r3,n04
16,r0,n06
16,r1,n06
16,r2,n06
16,r3,n06
17,r0,n08
17,r1,n08
17,r2,n08
17,r3,n08
18,r0,n03
18,r1,n03
18,r2,n03
18,r3,n03
19,r0,n07
19,r1,n07
19,r2,n07
19,r3,n07
20,r0,n00
20,r1,n00
20,r2,n00
20,r3,n00
21,r0,n08
21,r1,n08
21,r2,n08
21,r3,n08
22,r0,n09
22,r1,n09
22,r2,n09
22,r3,n09
23,r0,n11
23,r1,n11
23,r2,n11
23,r3,n11
24,r0,n10
24,r1,n10
24,r2,n10
24,r3,n10
25,r0,n01
25,r1,n01
25,r2,n01
25,r3,n01
26,r0,n05
26,r1,n05
26,r2,n05
26,r3,n05
27,r0,n06
27,r1,n06
27,r2,n06
27,r3,n06
28,r0,n00
28,r1,n00
28,r2,n00
28,r3,n00
29,r0,n05
29,r1,n05
29,r2,n05
29,r3,n05
30,r0,n02
30,r1,n02
30,r2,n02
30,r3,n02
31,r0,n07
31,r1,n07
31,r2,n07
31,r3,n07
32,r0,n04
32,r1,n04
32,r2,n04
32,r3,n04
33,r0,n05
33,r1,n05
33,r2,n05
33,r3,n05
34,r0,n00
34,r1,n00
34,r2,n00
34,r3,n00
35,r0,n01
35,r1,n01
35,r2,n01
35,r3,n01
36,r0,n03
36,r1,n03
36,r2,n03
36,r3,n03
37,r0,n08
37,r1,n08
37,r2,n08
37,r3,n08
38,r0,n09
38,r1,n09
38,r2,n09
38,r3,n09
39,r0,n04
39,r1,n04
39,r2,n04
39,r3,n04
40,r0,n10
40,r1,n10
40,r2,n10
40,r3,n10
41,r0,n01
41,r1,n01
41,r2,n01
41,r3,n01
