global_shift,room_id,nurse_id
0,r0,n19
0,r2,n20
0,r3,n19
0,r4,n20
0,r5,n19
0,r7,n20
0,r8,n07
1,r0,n09
1,r2,n11
1,r3,n09
1,r4,n05
1,r5,n09
1,r7,n11
1,r8,n06
2,r0,n02
2,r2,n00
2,r3,n03
2,r4,n00
2,r5,n12
2,r7,n01
2,r8,n00
3,r0,n14
3,r1,n18
3,r2,n16
3,r3,n15
3,r4,n18
3,r5,n17
3,r6,n17
3,r7,n18
3,r8,n16
3,r9,n04
4,r0,n06
4,r1,n07
4,r2,n07
4,r3,n06
4,r4,n05
4,r5,n08
4,r6,n11
4,r7,n11
4,r8,n11
4,r9,n06
5,r0,n12
5,r1,n12
5,r2,n12
5,r3,n13
5,r4,n13
5,r5,n13
5,r6,n03
5,r7,n01
5,r8,n13
5,r9,n01
6,r0,n16
6,r1,n14
6,r2,n15
6,r3,n04
6,r4,n16
6,r5,n10
6,r6,n00
6,r7,n04
6,r8,n15
6,r9,n00
7,r0,n11
7,r1,n05
7,r2,n06
7,r3,n06
7,r4,n09
7,r5,n11
7,r6,n09
7,r7,n06
7,r8,n02
7,r9,n08
8,r0,n01
8,r1,n17
8,r2,n18
8,r3,n17
8,r4,n07
8,r5,n17
8,r6,n18
8,r7,n07
8,r8,n07
8,r9,n18
9,r0,n00
9,r1,n12
9,r2,n16
9,r3,n03
9,r4,n13
9,r5,n00
9,r6,n12
9,r7,n13
9,r8,n13
9,r9,n16
10,r0,n06
10,r1,n02
10,r2,n05
10,r3,n06
10,r4,n09
10,r5,n09
10,r6,n08
10,r7,n04
10,r8,n06
10,r9,n04
11,r0,n07
11,r1,n10
11,r2,n11
11,r3,n07
11,r4,n01
11,r5,n11
11,r6,n07
11,r7,n11
11,r8,n11
11,r9,n10
12,r0,n17
12,r1,n03
12,r2,n17
12,r3,n03
12,r4,n14
12,r5,n15
12,r6,n16
12,r7,n16
12,r8,n17
12,r9,n15
13,r0,n06
13,r1,n09
13,r2,n09
13,r3,n06
13,r4,n12
13,r5,n00
13,r6,n06
13,r7,n04
13,r8,n02
13,r9,n04
14,r0,n11
14,r1,n13
14,r2,n13
14,r3,n08
14,r4,n05
14,r5,n08
14,r6,n05
14,r7,n01
14,r8,n11
14,r9,n11
15,r0,n20
15,r1,n14
15,r2,n19
15,r3,n20
15,r4,n18
15,r5,n10
15,r6,n07
15,r7,n20
15,r8,n19
15,r9,n18
16,r0,n16
16,r1,n15
16,r2,n16
16,r3,n00
16,r4,n15
16,r5,n03
16,r6,n06
16,r7,n06
16,r8,n06
16,r9,n00
17,r0,n04
17,r1,n09
17,r2,n11
17,r3,n11
17,r4,n11
17,r5,n09
17,r6,n01
17,r7,n04
17,r8,n01
17,r9,n09
18,r0,n07
18,r1,n17
18,r2,n13
18,r3,n07
18,r4,n12
18,r5,n08
18,r6,n17
18,r7,n02
18,r8,n17
18,r9,n13
19,r0,n18
19,r1,n18
19,r2,n18
19,r3,n06
19,r4,n19
19,r5,n00
19,r6,n06
19,r7,n06
19,r8,n16
19,r9,n16
20,r0,n03
20,r1,n05
20,r2,n04
20,r3,n09
20,r4,n09
20,r5,n05
20,r6,n04
20,r7,n03
20,r8,n09
20,r9,n09
21,r0,n02
21,r1,n13
21,r2,n12
21,r3,n11
21,r4,n14
21,r5,n13
21,r6,n01
21,r7,n12
21,r8,n11
21,r9,n11
22,r0,n15
22,r1,n20
22,r2,n20
22,r3,n20
22,r4,n21
22,r5,n18
22,r6,n16
22,r7,n18
22,r8,n16
22,r9,n15
23,r0,n07
23,r1,n04
23,r2,n03
23,r3,n07
23,r4,n04
23,r5,n00
23,r6,n00
23,r7,n00
23,r8,n07
23,r9,n07
24,r0,n02
24,r1,n01
24,r2,n08
24,r3,n06
24,r4,n09
24,r5,n09
24,r6,n06
24,r7,n01
24,r8,n06
24,r9,n05
25,r0,n16
25,r1,n13
25,r2,n14
25,r3,n11
25,r4,n15
25,r5,n16
25,r6,n11
25,r7,n11
25,r8,n13
25,r9,n13
26,r0,n04
26,r1,n00
26,r2,n17
26,r3,n07
26,r4,n17
26,r5,n00
26,r6,n03
26,r7,n04
26,r8,n07
26,r9,n07
27,r0,n09
27,r1,n18
27,r2,n08
27,r3,n09
27,r4,n18
27,r5,n06
27,r6,n06
27,r7,n01
27,r8,n08
27,r9,n09
28,r0,n15
28,r1,n16
28,r2,n12
28,r3,n02
28,r4,n10
28,r5,n05
28,r6,n02
28,r7,n15
28,r8,n12
28,r9,n16
29,r0,n14
29,r1,n00
29,r2,n14
29,r3,n13
29,r4,n00
29,r5,n13
29,r6,n07
29,r7,n13
29,r8,n07
29,r9,n13
30,r0,n03
30,r1,n17
30,r2,n08
30,r3,n08
30,r4,n11
30,r5,n04
30,r6,n01
30,r7,n11
30,r8,n11
30,r9,n17
31,r0,n18
31,r1,n09
31,r2,n18
31,r3,n02
31,r4,n06
31,r5,n09
31,r6,n06
31,r7,n18
31,r8,n12
31,r9,n15
32,r0,n13
32,r1,n13
32,r2,n07
32,r3,n13
32,r4,n05
32,r5,n07
32,r6,n05
32,r7,n13
32,r8,n07
32,r9,n14
33,r0,n16
33,r1,n19
33,r2,n16
33,r3,n00
33,r4,n20
33,r5,n04
33,r6,n00
33,r7,n19
33,r8,n03
33,r9,n20
34,r0,n18
34,r1,n01
34,r2,n18
34,r3,n18
34,r4,n10
34,r5,n06
34,r6,n17
34,r7,n06
34,r8,n17
34,r9,n17
35,r0,n07
35,r1,n09
35,r2,n09
35,r3,n02
35,r4,n12
35,r5,n07
35,r6,n09
35,r7,n07
35,r8,n02
35,r9,n08
36,r0,n11
36,r1,n04
36,r2,n11
36,r3,n00
36,r4,n13
36,r5,n14
36,r6,n00
36,r7,n11
36,r8,n04
36,r9,n13
37,r0,n16
37,r1,n19
37,r2,n15
37,r3,n18
37,r4,n20
37,r5,n16
37,r6,n19
37,r7,n20
37,r8,n18
37,r9,n18
38,r0,n07
38,r1,n01
38,r2,n07
38,r3,n06
38,r4,n07
38,r5,n06
38,r6,n06
38,r7,n03
38,r8,n03
38,r9,n06
39,r0,n05
39,r1,n09
39,r2,n02
39,r3,n02
39,r4,n04
39,r5,n09
39,r6,n00
39,r7,n05
39,r8,n09
39,r9,n00
40,r0,n11
40,r1,n08
40,r2,n10
40,r3,n11
40,r4,n13
40,r5,n10
40,r6,n13
40,r7,n11
40,r8,n12
40,r9,n12
41,r0,n06
41,r1,n06
41,r2,n03
41,r3,n03
41,r4,n01
41,r5,n06
41,r6,n01
41,r7,n06
41,r8,n03
41,r9,n06
42,r0,n05
42,r1,n14
42,r2,n09
42,r3,n02
42,r4,n07
42,r5,n05
42,r6,n09
42,r7,n09
42,r8,n09
42,r9,n04
43,r0,n17
43,r1,n12
43,r2,n17
43,r3,n00
43,r4,n16
43,r5,n15
43,r6,n17
43,r7,n00
43,r8,n17
43,r9,n17
44,r0,n13
44,r1,n13
44,r2,n03
44,r3,n01
44,r4,n18
44,r5,n06
44,r6,n13
44,r7,n06
44,r8,n03
44,r9,n06
45,r0,n07
45,r1,n11
45,r2,n09
45,r3,n11
45,r4,n09
45,r5,n04
45,r6,n11
45,r7,n09
45,r8,n08
45,r9,n07
46,r0,n19
46,r1,n20
46,r2,n19
46,r3,n00
46,r4,n19
46,r5,n20
46,r6,n00
46,r7,n02
46,r8,n20
46,r9,n00
47,r0,n06
47,r1,n06
47,r2,n12
47,r3,n06
47,r4,n01
47,r5,n12
47,r6,n03
47,r7,n06
47,r8,n12
47,r9,n06
48,r0,n13
48,r1,n04
48,r2,n16
48,r3,n11
48,r4,n13
48,r5,n11
48,r6,n13
48,r7,n11
48,r8,n13
48,r9,n04
49,r0,n09
49,r1,n18
49,r2,n17
49,r3,n09
49,r4,n18
49,r5,n18
49,r6,n07
49,r7,n02
49,r8,n09
49,r9,n09
50,r0,n19
50,r1,n01
50,r2,n20
50,r3,n15
50,r4,n06
50,r5,n06
50,r6,n06
50,r7,n01
50,r8,n19
50,r9,n19
51,r0,n00
51,r1,n24
51,r2,n00
51,r3,n10
51,r4,n05
51,r5,n10
51,r6,n23
51,r7,n22
51,r9,n24
52,r0,n08
52,r1,n07
52,r2,n03
52,r3,n07
52,r4,n07
52,r5,n03
52,r6,n02
52,r7,n07
52,r9,n07
53,r0,n13
53,r1,n09
53,r2,n12
53,r3,n11
53,r4,n11
53,r5,n11
53,r6,n09
53,r7,n11
53,r9,n11
54,r0,n06
54,r2,n00
54,r3,n06
54,r4,n00
54,r5,n05
54,r6,n00
54,r7,n00
54,r9,n06
55,r0,n04
55,r2,n02
55,r3,n16
55,r4,n17
55,r5,n16
55,r6,n03
55,r7,n17
55,r9,n17
56,r0,n18
56,r2,n18
56,r3,n18
56,r4,n13
56,r5,n18
56,r6,n18
56,r7,n20
56,r9,n20
57,r0,n11
57,r2,n11
57,r5,n11
57,r6,n11
58,r0,n00
58,r2,n00
58,r5,n08
58,r6,n03
59,r0,n13
59,r2,n15
59,r5,n13
59,r6,n13
60,r0,n19
60,r6,n19
61,r0,n20
61,r6,n20
62,r0,n13
62,r6,n13
