global_shift,room_id,nurse_id
0,r0,n09
0,r1,n09
0,r2,n11
0,r3,n11
0,r4,n11
1,r0,n01
1,r1,n00
1,r2,n03
1,r3,n03
1,r4,n00
2,r0,n02
2,r1,n02
2,r2,n07
2,r3,n07
2,r4,n07
3,r0,n09
3,r1,n04
3,r2,n09
3,r4,n10
4,r0,n01
4,r1,n00
4,r2,n01
4,r4,n00
5,r0,n03
5,r1,n07
5,r2,n07
5,r4,n07
6,r0,n04
6,r1,n04
6,r2,n02
6,r3,n04
6,r4,n08
7,r0,n11
7,r1,n11
7,r2,n11
7,r3,n00
7,r4,n00
8,r0,n05
8,r1,n01
8,r2,n09
8,r3,n09
8,r4,n09
9,r0,n07
9,r1,n07
9,r2,n12
9,r3,n02
9,r4,n02
10,r0,n06
10,r1,n00
10,r2,n00
10,r3,n06
10,r4,n04
11,r0,n01
11,r1,n01
11,r2,n01
11,r3,n08
11,r4,n08
12,r0,n07
12,r1,n03
12,r2,n07
12,r3,n09
12,r4,n09
13,r0,n02
13,r1,n04
13,r2,n05
13,r3,n02
13,r4,n04
14,r0,n01
14,r1,n01
14,r2,n01
14,r3,n06
14,r4,n06
15,r0,n03
15,r1,n03
15,r2,n03
15,r3,n08
15,r4,n03
16,r0,n02
16,r1,n00
16,r2,n00
16,r3,n02
16,r4,n05
17,r0,n06
17,r1,n06
17,r2,n07
17,r3,n06
17,r4,n07
18,r0,n04
18,r1,n01
18,r2,n04
18,r3,n10
18,r4,n09
19,r0,n03
19,r1,n03
19,r2,n05
19,r3,n00
19,r4,n00
20,r0,n06
20,r1,n06
20,r2,n06
20,r3,n08
20,r4,n02
21,r0,n11
21,r1,n07
21,r2,n11
21,r3,n07
21,r4,n10
22,r0,n05
22,r1,n01
22,r2,n12
22,r3,n05
22,r4,n01
23,r0,n03
23,r1,n03
23,r2,n03
23,r3,n08
23,r4,n08
24,r0,n00
24,r1,n00
24,r2,n02
24,r3,n00
24,r4,n07
25,r0,n05
25,r1,n01
25,r2,n04
25,r3,n05
25,r4,n01
26,r0,n03
26,r1,n03
26,r2,n06
26,r3,n06
26,r4,n06
27,r0,n00
27,r1,n00
27,r2,n07
27,r3,n00
27,r4,n07
28,r0,n05
28,r1,n08
28,r2,n01
28,r3,n01
28,r4,n08
29,r0,n06
29,r1,n06
29,r2,n09
29,r3,n09
29,r4,n09
30,r0,n11
30,r1,n11
30,r2,n00
30,r3,n11
30,r4,n11
31,r0,n04
31,r1,n04
31,r2,n07
31,r3,n07
31,r4,n04
32,r0,n03
32,r1,n06
32,r2,n06
32,r3,n06
32,r4,n06
33,r0,n00
33,r1,n00
33,r2,n00
33,r3,n00
34,r0,n09
34,r1,n10
34,r2,n10
34,r3,n09
35,r0,n06
35,r1,n06
35,r2,n01
35,r3,n06
36,r0,n12
36,r2,n11
36,r3,n12
37,r0,n03
37,r2,n00
37,r3,n03
38,r0,n07
38,r2,n06
38,r3,n07
39,r3,n08
40,r3,n10
41,r3,n05
